endpoint,row_id,W_lambda1_fiducial
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,LHCb_7:13,-2.3683974742889404
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s314,LHCb_7:13,-2.377223014831543
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s315,LHCb_7:13,-2.3879590034484863
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s316,LHCb_7:13,-2.3814897537231445
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s317,LHCb_7:13,-2.380847930908203
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s318,LHCb_7:13,-2.3855862617492676
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s319,LHCb_7:13,-2.3750064373016357
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,LHCb_7:13,-2.375967502593994
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,LHCb_7:13,-2.388345241546631
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,LHCb_7:13,-2.3769216537475586
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,LHCb_7:13,-2.3817758560180664
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,LHCb_7:13,-2.3828117847442627
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,LHCb_7:13,-2.400485038757324
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,LHCb_7:13,-2.3768818378448486
lambda1_start_expansion48_s327_cont320000,LHCb_7:13,-2.3675448894500732
lambda1_start_expansion48_s328_cont240000,LHCb_7:13,-2.361964702606201
lambda1_start_expansion48_s329_cont200000,LHCb_7:13,-2.3665826320648193
lambda1_start_expansion48_s330_cont120000,LHCb_7:13,-2.3707528114318848
lambda1_start_expansion48_s331_cont120000,LHCb_7:13,-2.359832286834717
lambda1_start_expansion48_s332_cont120000,LHCb_7:13,-2.3741953372955322
lambda1_start_expansion48_s333_cont120000,LHCb_7:13,-2.398160696029663
lambda1_start_expansion48_s334_cont120000,LHCb_7:13,-2.365607261657715
lambda1_start_expansion48_s335_cont120000,LHCb_7:13,-2.4001898765563965
lambda1_start_expansion48_s336_cont120000,LHCb_7:13,-2.365084409713745
lambda1_start_expansion48_s337_cont120000,LHCb_7:13,-2.354839324951172
lambda1_start_expansion48_s338_cont120000,LHCb_7:13,-2.3644111156463623
lambda1_start_expansion48_s339_cont120000,LHCb_7:13,-2.3723371028900146
lambda1_start_expansion48_s340_cont120000,LHCb_7:13,-2.3666391372680664
lambda1_start_expansion48_s341_cont120000,LHCb_7:13,-2.366797685623169
lambda1_start_expansion48_s342_cont120000,LHCb_7:13,-2.3678479194641113
lambda1_start_expansion48_s343_cont120000,LHCb_7:13,-2.366291046142578
